[ T-Track ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 341
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   2.9500E+01   3.0000E+01   1.0824E+09  0.0636
   3.0000E+01   3.0500E+01   1.1324E+09  0.0623
   3.0500E+01   3.1000E+01   1.0448E+09  0.0648
   3.1000E+01   3.1500E+01   1.0435E+09  0.0648
   3.1500E+01   3.2000E+01   1.0474E+09  0.0647
   3.2000E+01   3.2500E+01   1.0604E+09  0.0643
   3.2500E+01   3.3000E+01   9.3536E+08  0.0684
   3.3000E+01   3.3500E+01   8.4304E+08  0.0720
   3.3500E+01   3.4000E+01   8.7169E+08  0.0709
   3.4000E+01   3.4500E+01   7.3646E+08  0.0770
   3.4500E+01   3.5000E+01   7.4442E+08  0.0767
   3.5000E+01   3.5500E+01   8.0424E+08  0.0737
   3.5500E+01   3.6000E+01   6.6311E+08  0.0812
   3.6000E+01   3.6500E+01   7.2769E+08  0.0776
   3.6500E+01   3.7000E+01   6.0835E+08  0.0847
   3.7000E+01   3.7500E+01   6.0930E+08  0.0848
   3.7500E+01   3.8000E+01   4.8574E+08  0.0949
   3.8000E+01   3.8500E+01   5.4294E+08  0.0896
   3.8500E+01   3.9000E+01   4.4050E+08  0.0995
   3.9000E+01   3.9500E+01   4.2014E+08  0.1021
   3.9500E+01   4.0000E+01   3.4949E+08  0.1118
   4.0000E+01   4.0500E+01   2.8330E+08  0.1240
   4.0500E+01   4.1000E+01   3.0602E+08  0.1193
   4.1000E+01   4.1500E+01   2.4482E+08  0.1336
   4.1500E+01   4.2000E+01   1.3817E+08  0.1772
   4.2000E+01   4.2500E+01   1.5695E+08  0.1667
   4.2500E+01   4.3000E+01   1.0878E+08  0.2000
   4.3000E+01   4.3500E+01   5.6113E+07  0.2774
   4.3500E+01   4.4000E+01   3.4802E+07  0.3536
   4.4000E+01   4.4500E+01   4.3449E+06  1.0000
   4.4500E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 9.1285E+09

'no. =  1,  reg  =    341'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.28}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.60199999999882091E-09 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
