# g + 197Au: Production of 196Au - Total
# Q-value    =-8.07237E+00 mass= 195.966569
# E-threshold= 8.07237E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 6.14953E+01
 1.00000E+01 1.08124E+02
 1.10000E+01 1.84008E+02
 1.20000E+01 3.08158E+02
 1.30000E+01 4.53992E+02
 1.40000E+01 4.95540E+02
 1.50000E+01 3.87118E+02
 1.60000E+01 1.80430E+02
 1.70000E+01 7.56074E+01
 1.80000E+01 3.50209E+01
 1.90000E+01 1.85365E+01
 2.00000E+01 1.10848E+01
 2.20000E+01 5.12356E+00
 2.40000E+01 3.09741E+00
 2.60000E+01 2.15308E+00
 2.80000E+01 1.62635E+00
 3.00000E+01 1.28635E+00
 3.50000E+01 8.13814E-01
 4.00000E+01 5.89434E-01
 4.50000E+01 4.56898E-01
 5.00000E+01 3.70250E-01
 5.50000E+01 3.08233E-01
 6.00000E+01 2.60024E-01
 6.50000E+01 2.22441E-01
 7.00000E+01 1.93042E-01
 7.50000E+01 1.68918E-01
 8.00000E+01 1.49658E-01
 9.00000E+01 1.19723E-01
 1.00000E+02 9.64729E-02
 1.10000E+02 7.84897E-02
 1.20000E+02 6.44490E-02
 1.30000E+02 5.38732E-02
 1.40000E+02 4.56305E-02
 1.50000E+02 3.81536E-02
 1.60000E+02 3.22360E-02
 1.80000E+02 2.36513E-02
 2.00000E+02 1.79477E-02
