#rp088225.tot         Number of runs:      4
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 2.50000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 2.18218E+01 2.15912E+01 2.20525E+01
 8.00000E+00 3.98209E+01 3.91229E+01 4.05190E+01
 9.00000E+00 7.65416E+01 7.53917E+01 7.76915E+01
 1.00000E+01 1.54492E+02 1.53543E+02 1.55441E+02
 1.10000E+01 2.89184E+02 2.88084E+02 2.90284E+02
 1.20000E+01 2.90411E+02 2.67089E+02 3.13734E+02
 1.25000E+01 2.17862E+02 1.86721E+02 2.49003E+02
 1.30000E+01 1.48994E+02 1.26112E+02 1.71876E+02
 1.35000E+01 9.68241E+01 8.28263E+01 1.10822E+02
 1.40000E+01 6.60494E+01 5.66294E+01 7.54694E+01
 1.45000E+01 4.71561E+01 3.99788E+01 5.43334E+01
 1.50000E+01 3.46398E+01 2.86758E+01 4.06039E+01
 1.55000E+01 2.63236E+01 2.10475E+01 3.15996E+01
 1.60000E+01 2.04255E+01 1.56673E+01 2.51836E+01
 1.65000E+01 1.63030E+01 1.20317E+01 2.05744E+01
 1.70000E+01 1.33490E+01 9.53128E+00 1.71668E+01
 1.75000E+01 1.11417E+01 7.73646E+00 1.45469E+01
 1.80000E+01 9.43069E+00 6.42927E+00 1.24321E+01
 1.90000E+01 7.03530E+00 4.67447E+00 9.39614E+00
 2.00000E+01 5.46042E+00 3.57147E+00 7.34937E+00
 2.20000E+01 3.59316E+00 2.29850E+00 4.88783E+00
 2.40000E+01 2.57310E+00 1.65104E+00 3.49517E+00
 2.60000E+01 1.92017E+00 1.23669E+00 2.60366E+00
 2.80000E+01 1.48625E+00 9.49510E-01 2.02300E+00
 3.00000E+01 1.20359E+00 7.72071E-01 1.63511E+00
 3.50000E+01 7.45739E-01 4.78371E-01 1.01311E+00
 4.00000E+01 4.86876E-01 3.12318E-01 6.61434E-01
 4.50000E+01 3.25885E-01 2.09046E-01 4.42723E-01
 5.00000E+01 2.25231E-01 1.44480E-01 3.05983E-01
 5.50000E+01 1.81110E-01 1.16177E-01 2.46043E-01
 6.00000E+01 1.33006E-01 8.53195E-02 1.80692E-01
 6.50000E+01 1.17658E-01 7.54746E-02 1.59842E-01
 7.00000E+01 9.41349E-02 6.03850E-02 1.27885E-01
 7.50000E+01 8.70130E-02 5.58165E-02 1.18210E-01
 8.00000E+01 6.98120E-02 4.47825E-02 9.48415E-02
 9.00000E+01 5.55852E-02 3.56564E-02 7.55140E-02
 1.00000E+02 4.57739E-02 2.93627E-02 6.21851E-02
 1.10000E+02 3.48814E-02 2.23755E-02 4.73873E-02
 1.20000E+02 3.08446E-02 1.97860E-02 4.19032E-02
 1.30000E+02 2.51632E-02 1.61415E-02 3.41850E-02
 1.40000E+02 2.18153E-02 1.39939E-02 2.96367E-02
 1.50000E+02 1.85079E-02 1.18723E-02 2.51435E-02
 1.60000E+02 1.45161E-02 9.31165E-03 1.97205E-02
 1.80000E+02 1.13273E-02 7.26614E-03 1.53884E-02
 2.00000E+02 6.36180E-03 4.08092E-03 8.64267E-03
