# g + 197Au: Production of 196Au - Total
# Q-value    =-8.07236E+00 mass= 195.966571
# E-threshold= 8.07236E+00
# # energies =    53
#     E          xs
 2.50000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 6.34319E+01
 1.00000E+01 1.18538E+02
 1.10000E+01 2.17607E+02
 1.20000E+01 3.71641E+02
 1.25000E+01 4.50905E+02
 1.30000E+01 5.08590E+02
 1.35000E+01 5.27326E+02
 1.40000E+01 5.07305E+02
 1.45000E+01 4.62535E+02
 1.50000E+01 3.94565E+02
 1.55000E+01 2.79230E+02
 1.60000E+01 1.81608E+02
 1.65000E+01 1.16784E+02
 1.70000E+01 7.61149E+01
 1.75000E+01 5.11044E+01
 1.80000E+01 3.58574E+01
 1.90000E+01 2.01976E+01
 2.00000E+01 1.31946E+01
 2.20000E+01 7.38284E+00
 2.40000E+01 5.03986E+00
 2.60000E+01 3.77804E+00
 2.80000E+01 2.97262E+00
 3.00000E+01 2.41230E+00
 3.50000E+01 1.23715E+00
 4.00000E+01 7.03806E-01
 4.50000E+01 4.45318E-01
 5.00000E+01 3.15068E-01
 5.50000E+01 2.43853E-01
 6.00000E+01 1.97993E-01
 6.50000E+01 1.67873E-01
 7.00000E+01 1.45867E-01
 7.50000E+01 1.28538E-01
 8.00000E+01 1.14118E-01
 9.00000E+01 9.15182E-02
 1.00000E+02 7.48506E-02
 1.10000E+02 6.14418E-02
 1.20000E+02 5.09745E-02
 1.30000E+02 4.12929E-02
 1.40000E+02 3.54493E-02
 1.50000E+02 2.79059E-02
 1.60000E+02 2.39615E-02
 1.80000E+02 1.74859E-02
 2.00000E+02 1.21403E-02
