#rp079196.L10         Number of runs:     20
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 2.50000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 3.52710E-05 0.00000E+00 7.05420E-05
 1.00000E+01 8.39082E-04 0.00000E+00 1.67816E-03
 1.10000E+01 6.39505E-03 0.00000E+00 1.27901E-02
 1.20000E+01 3.12069E-02 0.00000E+00 6.24138E-02
 1.25000E+01 5.81267E-02 0.00000E+00 1.16253E-01
 1.30000E+01 9.68485E-02 0.00000E+00 1.93697E-01
 1.35000E+01 1.38459E-01 0.00000E+00 2.76919E-01
 1.40000E+01 1.83854E-01 0.00000E+00 3.67708E-01
 1.45000E+01 2.12896E-01 0.00000E+00 4.25792E-01
 1.50000E+01 2.38352E-01 0.00000E+00 4.76704E-01
 1.55000E+01 2.57573E-01 0.00000E+00 5.15145E-01
 1.60000E+01 2.68884E-01 0.00000E+00 5.37769E-01
 1.65000E+01 2.80249E-01 0.00000E+00 5.60499E-01
 1.70000E+01 2.85460E-01 0.00000E+00 5.70920E-01
 1.75000E+01 2.87067E-01 0.00000E+00 5.74134E-01
 1.80000E+01 2.82036E-01 0.00000E+00 5.64071E-01
 1.90000E+01 2.68982E-01 0.00000E+00 5.37964E-01
 2.00000E+01 2.50001E-01 0.00000E+00 5.00003E-01
 2.20000E+01 2.21500E-01 0.00000E+00 4.42999E-01
 2.40000E+01 2.03161E-01 0.00000E+00 4.06323E-01
 2.60000E+01 1.99405E-01 0.00000E+00 3.98809E-01
 2.80000E+01 1.97695E-01 0.00000E+00 3.95389E-01
 3.00000E+01 1.95845E-01 0.00000E+00 3.91689E-01
 3.50000E+01 1.57414E-01 0.00000E+00 3.14829E-01
 4.00000E+01 1.28625E-01 0.00000E+00 2.57251E-01
 4.50000E+01 1.05730E-01 0.00000E+00 2.11461E-01
 5.00000E+01 8.84825E-02 0.00000E+00 1.76965E-01
 5.50000E+01 7.13585E-02 0.00000E+00 1.42717E-01
 6.00000E+01 5.62965E-02 0.00000E+00 1.12593E-01
 6.50000E+01 4.57948E-02 0.00000E+00 9.15896E-02
 7.00000E+01 3.93368E-02 0.00000E+00 7.86736E-02
 7.50000E+01 3.50507E-02 0.00000E+00 7.01014E-02
 8.00000E+01 3.15408E-02 0.00000E+00 6.30815E-02
 9.00000E+01 2.67340E-02 0.00000E+00 5.34680E-02
 1.00000E+02 2.31869E-02 0.00000E+00 4.63737E-02
 1.10000E+02 2.04116E-02 0.00000E+00 4.08233E-02
 1.20000E+02 1.79489E-02 0.00000E+00 3.58977E-02
 1.30000E+02 1.40487E-02 0.00000E+00 2.80973E-02
 1.40000E+02 1.24703E-02 0.00000E+00 2.49405E-02
 1.50000E+02 8.45547E-03 0.00000E+00 1.69109E-02
 1.60000E+02 4.01314E-03 0.00000E+00 8.02628E-03
 1.80000E+02 3.63576E-03 0.00000E+00 7.27152E-03
 2.00000E+02 2.25475E-03 0.00000E+00 4.50951E-03
