# g + 197Au: Production of 196Au - Total
# Q-value    =-8.07235E+00 mass= 195.966571
# E-threshold= 8.07235E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 6.41097E+01
 1.00000E+01 1.13182E+02
 1.10000E+01 1.92843E+02
 1.20000E+01 3.23190E+02
 1.30000E+01 4.76367E+02
 1.40000E+01 5.20096E+02
 1.50000E+01 4.06478E+02
 1.60000E+01 1.89656E+02
 1.70000E+01 7.94961E+01
 1.80000E+01 3.68287E+01
 1.90000E+01 1.94887E+01
 2.00000E+01 1.16435E+01
 2.20000E+01 5.37117E+00
 2.40000E+01 3.23965E+00
 2.60000E+01 2.24675E+00
 2.80000E+01 1.69277E+00
 3.00000E+01 1.33514E+00
 3.50000E+01 8.38610E-01
 4.00000E+01 6.03710E-01
 4.50000E+01 4.65782E-01
 5.00000E+01 3.76121E-01
 5.50000E+01 3.12300E-01
 6.00000E+01 2.62933E-01
 6.50000E+01 2.24595E-01
 7.00000E+01 1.94681E-01
 7.50000E+01 1.70201E-01
 8.00000E+01 1.50680E-01
 9.00000E+01 1.20418E-01
 1.00000E+02 9.69629E-02
 1.10000E+02 7.88485E-02
 1.20000E+02 6.47216E-02
 1.30000E+02 5.40883E-02
 1.40000E+02 4.58024E-02
 1.50000E+02 3.82913E-02
 1.60000E+02 3.23473E-02
 1.80000E+02 2.37262E-02
 2.00000E+02 1.80020E-02
